"customer_key","name","is_company","parent_id","country_id","city","email","phone","industry_id","create_date"
18,"Doggo",False,NULL,NULL,NULL,"testmail2004@gmail.com",NULL,NULL,"2025-11-20 04:13:29.942507"
22,"Doggo",False,NULL,NULL,NULL,"iqu24h@gmail.com",NULL,NULL,"2025-11-22 02:38:31.186107"
17,"Black Organization",True,NULL,NULL,NULL,"bo123@gmail.com",NULL,NULL,"2025-11-18 03:15:43.90186"
77,"Ben10",False,1,233,"","qweewq@gmail.com","123123",NULL,"2025-11-26 08:10:48.361101"
1,"My Company",True,NULL,233,"","vokhoinguyen2017@gmail.com","",NULL,"2025-11-14 18:29:28.900639"
6,"UIT",True,NULL,NULL,NULL,NULL,NULL,NULL,"2025-11-14 18:36:01.922009"
7,"Andy",False,6,NULL,NULL,"vokhoinguyen2017@gmail.com","0915538518",NULL,"2025-11-14 18:36:08.940625"
23,"Webhook Test",False,NULL,NULL,NULL,NULL,NULL,NULL,"2025-11-22 04:38:20.135731"
12,"NguyenVo",False,1,233,NULL,"asdouqjw@gmail.com","1234142341",NULL,"2025-11-14 19:30:47.299781"
13,"Doggo",False,6,NULL,NULL,"nguyenvo10092004@gmail.com","0915538518",NULL,"2025-11-14 19:32:01.930289"
10,"Andy Vo",False,6,NULL,NULL,"NguyenVo10092004@gmail.com","0915538518",NULL,"2025-11-14 19:25:00.07313"
15,"Zoe",False,NULL,NULL,NULL,"23521066@gm.uit.edu.vn",NULL,NULL,"2025-11-15 13:26:52.752344"
25,"Vermouth",False,17,NULL,NULL,"vermouth@gmai.com","1231273",NULL,"2025-11-22 11:17:53.281907"
8,"Feng",False,6,NULL,NULL,"23521066@gmail.com",NULL,NULL,"2025-11-14 19:23:50.136957"
3,"Administrator",False,NULL,NULL,NULL,"vokhoinguyen2017@gmail.com",NULL,NULL,"2025-11-14 18:29:28.900639"
26,"Vodka",False,17,NULL,NULL,"vodka@gmail.com","091283",NULL,"2025-11-22 11:54:50.39527"
67,"Nguyễn Hà My",False,NULL,NULL,NULL,"nguyen.hamy@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
68,"Trần Hồng Vân",False,NULL,NULL,NULL,"tran.hongvan@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
69,"Lê Minh Tú",False,NULL,NULL,NULL,"le.minhtu@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
70,"Phạm Ngọc Hân",False,NULL,NULL,NULL,"pham.ngochan@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
71,"Hồ Đức Thịnh",False,NULL,NULL,NULL,"ho.ducthinh@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
72,"Đinh Võ Khánh",False,NULL,NULL,NULL,"dinh.vokhanh@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
14,"Nguyen",False,1,233,NULL,"if@gmai.com","12391284",NULL,"2025-11-14 19:34:15.908042"
11,"Crazy Frog",False,6,NULL,NULL,"niU@gmail.com","918241",NULL,"2025-11-14 19:26:29.121328"
73,"Nguyễn Tuấn Kiệt",False,NULL,NULL,NULL,"nguyen.tuankiet@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
74,"Phan Quốc Nam",False,NULL,NULL,NULL,"phan.quocnam@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
24,"Gin",False,17,NULL,NULL,"gin@gmail.com","1236543",NULL,"2025-11-22 11:04:05.657118"
16,"Graves",False,NULL,NULL,NULL,"testmail@gmail.com",NULL,NULL,"2025-11-15 13:27:43.041666"
75,"Vũ Thanh Vy",False,NULL,NULL,NULL,"vu.thanhvy@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
76,"Hà Đức Dũng",False,NULL,NULL,NULL,"ha.ducdung@highlandscoffee.com",NULL,NULL,"2025-11-25 11:26:47.155867"
